memnuniyet_seviyesi;performans_olcumu;proje_sayisi;aylik_calisma_suresi;tecrube
99;44;6;104;6
96;59;4;108;6
86;79;3;106;6
43;96;3;109;6
43;96;3;109;6
82;77;3;108;6
74;64;4;101;6
96;83;4;132;6
81;63;4;108;6
97;41;5;135;6
97;41;5;135;6
99;95;4;102;5
98;38;4;140;6
66;86;4;112;6
84;66;3;114;6
68;41;3;106;6
67;52;2;102;6
14;52;4;108;6
78;63;6;111;6
94;47;5;131;6
29;39;6;105;6
29;39;6;105;6
14;38;5;115;6
14;38;5;115;6
57;68;3;102;6
69;95;3;126;6
98;87;5;151;6
93;48;5;134;6
58;57;5;105;6
97;93;2;160;6
53;47;6;106;6
53;47;6;106;6
85;99;6;153;6
64;95;3;131;6
98;44;4;154;6
98;44;4;154;6
53;94;4;128;6
96;37;2;159;6
64;69;5;114;6
95;49;4;146;6
85;97;4;104;5
92;85;3;151;6
92;85;3;151;6
36;62;4;111;6
31;92;4;133;6
33;62;4;113;6
42;73;3;115;6
97;91;2;112;5
29;48;2;116;6
79;45;5;131;6
82;87;5;145;6
82;87;5;145;6
74;56;3;125;6
34;88;5;131;6
55;43;3;120;6
13;97;4;162;6
13;97;4;162;6
92;69;4;149;6
97;74;3;104;5
93;95;5;176;6
93;95;5;176;6
98;63;3;285;6
96;61;4;158;6
23;94;4;149;6
97;87;2;175;6
98;56;3;103;5
99;37;6;219;6
98;55;3;166;6
98;55;3;166;6
85;58;4;143;6
62;91;3;142;6
63;51;3;126;6
98;98;5;210;6
97;84;4;177;6
97;84;4;177;6
25;41;3;133;6
87;64;2;148;6
93;77;5;106;5
55;82;4;134;6
27;85;5;142;6
53;95;2;101;5
77;86;3;101;5
97;96;5;210;6
51;39;5;132;6
51;39;5;132;6
82;48;4;149;6
38;86;6;139;6
38;86;6;139;6
38;86;6;139;6
91;49;6;272;6
91;97;4;274;6
91;97;4;274;6
43;74;4;129;6
43;74;4;129;6
97;96;4;250;6
66;73;2;135;6
64;45;3;135;6
12;81;4;287;6
53;76;5;132;6
27;66;3;133;6
91;53;3;273;6
72;45;4;143;6
89;49;5;165;6
92;99;5;255;6
92;99;5;255;6
92;99;5;255;6
25;67;2;136;6
98;81;4;266;6
97;75;2;271;6
76;94;4;168;6
23;51;5;139;6
15;61;3;146;6
81;77;5;102;5
19;63;4;142;6
17;86;3;286;6
17;77;4;151;6
81;75;5;101;5
82;62;3;152;6
82;62;3;152;6
77;98;3;286;6
77;98;3;286;6
88;99;5;262;6
88;99;5;262;6
88;99;5;262;6
96;93;6;240;6
75;48;2;284;6
14;46;2;267;6
96;48;3;202;6
96;48;3;202;6
69;36;5;269;6
21;69;3;144;6
91;97;4;251;6
16;81;2;159;6
91;98;4;242;6
91;98;4;242;6
96;51;3;241;6
74;85;4;105;5
89;87;5;275;6
84;41;6;255;6
24;96;3;174;6
84;73;5;105;5
19;97;6;269;6
19;97;6;269;6
86;95;5;269;6
91;91;4;262;6
91;91;4;262;6
91;91;4;262;6
96;89;2;239;6
93;94;4;233;6
93;94;4;233;6
85;97;4;266;6
91;88;5;123;5
95;48;5;214;6
14;79;5;163;6
89;98;4;242;6
84;99;4;262;6
84;99;4;262;6
84;99;4;262;6
57;67;3;138;6
57;67;3;138;6
19;78;5;156;6
12;93;6;257;6
61;74;2;143;6
14;83;6;275;6
76;83;6;293;6
76;83;6;293;6
89;87;2;270;6
91;94;5;218;6
97;55;5;212;6
97;55;5;212;6
74;94;3;286;6
16;78;4;280;6
33;94;4;166;6
89;96;4;219;6
82;95;6;191;6
82;99;4;263;6
82;99;4;263;6
82;99;4;263;6
14;83;5;171;6
64;67;3;143;6
64;67;3;143;6
83;92;4;187;6
23;78;4;154;6
28;46;5;277;6
94;76;4;261;6
79;59;2;157;6
91;76;3;116;5
87;97;5;250;6
72;54;3;286;6
77;43;4;265;6
98;67;4;209;6
98;67;4;209;6
16;94;4;261;6
16;94;4;261;6
15;96;5;201;6
16;99;3;213;6
82;91;5;276;6
18;99;4;204;6
18;94;3;187;6
74;81;5;106;5
22;63;5;284;6
36;94;3;113;5
73;54;3;283;6
14;83;5;175;6
15;52;4;265;6
94;52;4;217;6
94;52;4;217;6
58;79;4;149;6
22;61;4;150;6
97;66;5;234;6
97;66;5;234;6
91;43;4;117;5
86;96;5;245;6
19;63;4;278;6
19;63;4;278;6
19;76;3;107;5
85;41;2;229;6
83;92;5;267;6
83;92;5;267;6
83;92;5;267;6
18;51;5;159;6
85;84;5;272;6
87;88;5;262;6
87;92;4;253;6
66;36;3;256;6
16;51;3;262;6
16;96;6;211;6
78;98;5;263;6
78;98;5;263;6
78;98;5;263;6
95;74;5;243;6
95;74;5;243;6
92;87;4;226;6
92;87;4;226;6
92;87;4;226;6
48;42;2;275;6
48;42;2;275;6
92;87;4;229;6
78;94;5;271;6
15;94;5;244;6
82;87;5;273;6
85;96;4;240;6
21;44;4;163;6
84;98;4;134;5
18;39;2;177;6
